dt_ymd,city_id,order_cnt_sum,order_infos_cnt_sum
20180125,4417,6,6
20180127,5203,58,58
20180202,4201,743,772
20180206,4501,1467,1497
20180209,4408,25,25
20180210,3302,32,35
20180215,4419,6,6
20180225,4306,190,199
20180303,3211,30,30
20180304,3604,20,20
20180304,4452,183,183
20180305,2301,146,149
20180312,4401,2042,2317
20180320,3502,326,326
20180323,5105,4,4
20180327,3709,19,19
20180328,4102,2,2
20180402,4403,2570,2660
20180411,2201,168,168
20180420,420607,497,526
20180422,4601,537,537
20180424,4115,134,134
20180426,3205,757,775
20180428,4415,274,274
20180430,3702,81,81
20180507,3713,177,178
20180511,4210,213,216
20180514,4117,56,56
20180516,3207,187,187
20180518,4417,503,503
20180520,3704,174,174
20180523,3611,194,194
20180528,4304,676,697
20180529,1305,301,301
20180529,522401,10,10
20180531,4408,258,258
20180531,6104,171,171
20180602,6301,110,110
20180603,3302,177,179
20180606,3209,248,248
20180608,4419,284,298
20180610,3706,49,53
20180618,4306,412,427
20180619,1307,56,56
20180627,2104,1,1
20180701,4101,1138,1214
20180704,2312,96,96
20180705,4401,3329,3482
20180706,1402,128,136
20180709,1309,272,318
20180709,320581,140,140
20180711,4412,153,153
20180711,6108,71,71
20180712,6501,239,241
20180713,3502,506,506
20180716,5105,3,3
20180717,2106,676,689
20140410,1101,1,1
20140704,3301,3,3
20140803,1101,23,23
20141103,3101,22,22
20141213,3301,19,19
20150123,3101,145,145
20150307,5101,85,85
20150516,3101,448,465
20150619,1201,77,96
20150626,3301,620,641
20150725,1101,7443,7890
20150806,5001,328,328
20150909,3101,4524,5069
20150912,3205,429,448
20151025,3101,3838,4179
20151103,3702,30,30
20151128,1201,560,820
20151201,4501,11,11
20151209,5101,2326,2439
20151210,4419,13,16
20160104,2201,68,75
20160111,4301,32,36
20160112,1302,9,9
20160119,3205,203,227
20160123,3702,25,25
20160210,2101,13,13
20160221,4501,24,24
20160229,5101,1471,1569
20160320,2301,72,72
20160402,3202,27,34
20160405,6501,17,17
20160406,3502,17,17
20160504,4301,25,29
20160505,1302,2,2
20160516,3702,14,14
20160603,2101,88,91
20160610,4201,97,103
20160614,4501,50,50
20160623,4419,11,12
20160713,2301,102,102
20160720,4401,311,314
20160728,5001,728,774
20160810,4403,852,1044
20160909,3702,36,38
20161006,2201,95,107
20161013,4301,48,52
20161014,1302,1,1
20161025,3702,12,12
20161112,2101,73,73
20161123,4501,105,106
20161222,2301,151,168
20170107,6101,122,131
20170218,3302,9,9
20170301,1401,139,139
20170316,4101,28,28
20170324,3202,32,32
20170327,6501,39,42
20170328,3502,28,28
20170419,2201,112,118
20170426,4301,30,30
20170525,2101,81,81
20170709,4101,10,10
20170717,3202,20,20
20170811,3701,343,354
