,dt_ymd,city_id,_c2
31412,20180628,1410.0,149
31413,20180628,3210.0,268
31414,20180630,4417.0,646
31415,20180702,3607.0,522
31416,20180702,420607.0,471
31417,20180703,4416.0,696
31418,20180704,1505.0,1
31419,20180704,2105.0,22
31420,20180704,3305.0,141
31421,20180704,4505.0,30
31422,20180704,5105.0,6
31423,20180705,4114.0,483
31424,20180706,4203.0,77
31425,20180707,3212.0,584
31426,20180707,4412.0,168
31427,20180708,1501.0,293
31428,20180708,2101.0,410
31429,20180708,3301.0,4157
31430,20180708,4501.0,1567
31431,20180708,5101.0,9629
31432,20180708,6301.0,149
31433,20180708,320581.0,214
31434,20180709,2310.0,160
31435,20180709,4110.0,407
31436,20180710,2108.0,69
31437,20180710,3308.0,154
31438,20180711,4117.0,229
31439,20180713,4415.0,708
31440,20180714,1504.0,1011
31441,20180714,2104.0,6
31442,20180714,3304.0,18
31443,20180714,4504.0,39
31444,20180715,4113.0,686
31445,20180716,4202.0,2
31446,20180717,3211.0,165
31447,20180718,6540.0,205
31448,20180719,3509.0,183
31449,20180719,4109.0,16
31450,20180720,2107.0,85
31451,20180720,3307.0,20
31452,20180720,4507.0,2
31453,20180720,5107.0,307
31454,20180721,4116.0,852
31455,20180722,4205.0,438
31456,20180723,4414.0,781
31457,20180724,2103.0,333
31458,20180724,3303.0,433
31459,20180724,4503.0,352
31460,20180724,320583.0,1
31461,20180725,2312.0,397
31462,20180726,1201.0,1742
31463,20180726,3601.0,308
31464,20180726,4201.0,707
31465,20180726,522601.0,62
31466,20180727,1410.0,286
31467,20180727,3210.0,351
31468,20180729,2308.0,137
31469,20180729,3508.0,102
31470,20180729,4108.0,87
31471,20180730,2106.0,1039
31472,20180730,3306.0,225
31473,20180730,5106.0,122
31474,20180731,4115.0,413
31475,20180801,3607.0,465
31476,20180801,420607.0,489
31477,20180802,4416.0,579
31478,20180803,1505.0,161
31479,20180803,2105.0,305
31480,20180803,3305.0,251
31481,20180803,4505.0,240
31482,20180803,5105.0,8
31483,20180804,4114.0,503
31484,20180805,4203.0,91
31485,20180806,3212.0,463
31486,20180806,4412.0,41
31487,20180807,1501.0,290
31488,20180807,2101.0,502
31489,20180807,3301.0,5725
31490,20180807,4501.0,2167
31491,20180807,5101.0,10565
31492,20180807,6301.0,102
31493,20180807,320581.0,171
31494,20180808,2310.0,559
31495,20180808,4110.0,526
31496,20180810,4117.0,331
31497,20180812,4415.0,751
31498,20180813,1504.0,1120
31499,20180813,2104.0,14
31500,20180813,3304.0,23
31501,20180813,4504.0,124
31502,20180814,4113.0,623
31503,20180815,4202.0,14
31504,20180815,130682.0,1
31505,20180816,3211.0,144
31506,20180817,6540.0,371
31507,20180818,3509.0,385
31508,20180818,4109.0,84
31509,20180820,4116.0,645
31510,20180821,4205.0,269
31511,20180822,4414.0,868
31512,20180823,2103.0,264
31513,20180823,3303.0,349
31514,20180823,4503.0,392
31515,20180824,2312.0,364
31516,20180825,1201.0,1300
31517,20180825,3601.0,381
31518,20180825,4201.0,610
31519,20180825,522601.0,106
31520,20180826,1410.0,538
31521,20180826,3210.0,335
31522,20180828,2308.0,189
31523,20180828,3508.0,250
31524,20180828,4108.0,114
31525,20180829,3717.0,806
31526,20180830,4115.0,454
31527,20180831,3604.0,66
31528,20180901,4416.0,742
31529,20180902,1505.0,174
31530,20180902,2105.0,438
31531,20180902,3305.0,177
31532,20180902,4505.0,395
31533,20180902,5105.0,2
31534,20180903,4114.0,461
31535,20140604,3101.0,5
31536,20140703,3101.0,6
31537,20140802,3101.0,32
31538,20140901,3101.0,16
31539,20150108,3101.0,84
31540,20150207,3101.0,93
31541,20150306,3101.0,183
31542,20150405,3101.0,118
31543,20150504,3101.0,380
31544,20150603,3101.0,583
31545,20150702,3101.0,1271
31546,20150801,3101.0,2599
31547,20150919,2101.0,66
31548,20150919,3301.0,1727
31549,20150919,5101.0,3371
31550,20151025,3702.0,22
31551,20151116,2201.0,36
31552,20151116,3401.0,2
31553,20151118,4419.0,28
31554,20151124,1302.0,12
31555,20151124,3702.0,25
31556,20151215,2201.0,102
31557,20151217,4419.0,15
31558,20151223,1302.0,3
31559,20151223,3702.0,27
31560,20160107,1301.0,22
31561,20160107,3101.0,3395
31562,20160107,3701.0,42
31563,20160107,4301.0,59
31564,20160107,6101.0,93
31565,20160125,2201.0,146
31566,20160127,4419.0,6
31567,20160206,1301.0,42
31568,20160206,3101.0,1235
31569,20160206,3701.0,31
31570,20160206,4301.0,6
31571,20160206,6101.0,61
31572,20160224,2201.0,113
