dt_ymd,city_id,_c2
20150523,4201,35
20150523,3205,24
20150523,4403,302
20150523,5101,372
20150523,3101,480
20150523,1201,53
20150523,3201,23
20150523,3301,351
20150524,3201,16
20150524,4401,103
20150524,3205,8
20150524,4403,251
20150524,3301,309
20150524,3101,439
20150524,1101,2329
20150524,4201,38
20150524,1201,36
20150524,5101,363
20150525,4401,106
20150525,3205,22
20150525,1101,2538
20150525,3101,632
20150525,4201,31
20150525,5101,319
20150525,3201,23
20150525,4403,304
20150525,3301,380
20150525,1201,65
20150526,3205,32
20150526,3201,44
20150526,1201,64
20150526,4401,117
20150526,3301,339
20150526,4201,41
20150526,1101,2747
20150526,3101,556
20150526,5101,358
20150526,4403,273
20150527,5101,316
20150527,4403,357
20150527,4401,150
20150527,3205,31
20150527,1101,2925
20150527,4201,44
20150527,3301,373
20150527,3101,659
20150527,3201,49
20150527,1201,33
20150528,3301,368
20150528,3101,652
20150528,1201,58
20150528,5101,374
20150528,4201,42
20150528,1101,3131
20150528,3201,36
20150528,4401,113
20150528,3205,36
20150528,4403,345
20150529,1201,77
20150529,3301,417
20150529,4401,145
20150529,1101,3760
20150529,3101,834
20150529,4201,58
20150529,3205,27
20150529,4403,410
20150529,3201,51
20150529,5101,444
20150530,3301,406
20150530,1201,54
20150530,3201,51
20150530,3101,605
20150530,4403,356
20150530,1101,3290
20150530,3205,29
20150530,4401,119
20150530,4201,40
20150530,5101,361
20150531,4403,396
20150531,3201,41
20150531,3205,42
20150531,4401,160
20150531,3301,436
20150531,3101,655
20150531,5101,439
20150531,4201,133
20150531,1201,47
20150531,1101,3444
20150601,5101,589
20150601,1201,118
20150601,4201,79
20150601,1101,4512
20150601,3201,105
20150601,4401,174
20150601,3205,48
20150601,4403,550
20150601,3101,955
20150601,3301,594
20150602,4401,117
20150602,3205,47
20150602,5101,314
20150602,1101,3052
20150602,4201,37
20150602,3101,625
20150602,1201,61
20150602,3301,370
20150602,4403,350
20150602,3201,38
20150603,1201,71
20150603,1101,3301
20150603,4201,29
20150603,4403,338
20150603,3301,371
20150603,4401,123
20150603,3101,583
20150603,3205,41
20150603,3201,34
20150603,5101,331
20150604,4401,123
20150604,4403,385
20150604,1101,3448
20150604,3205,44
20150604,4201,39
20150604,5101,333
20150604,3101,641
20150604,3301,436
20150604,3201,65
20150604,1201,61
20150605,3101,863
20150605,3301,461
20150605,1101,4174
20150605,4201,69
20150605,1201,80
20150605,5101,498
20150605,3205,49
20150605,4401,186
20150605,3201,66
20150605,4403,413
20150606,3201,47
20150606,3101,546
20150606,4201,47
20150606,1101,3950
20150606,4401,167
20150606,3301,447
20150606,1201,62
20150606,5101,480
20150606,4403,442
20150606,3205,60
20150607,1201,57
20150607,4403,335
20150607,3301,383
20150607,3101,559
20150607,4201,73
20150607,1101,3053
20150607,5101,348
20150607,4401,114
20150607,3205,53
20150607,3201,34
20150608,5101,369
20150608,1201,71
20150608,3201,55
20150608,3301,457
20150608,3101,736
20150608,1101,3179
20150608,4201,32
20150608,3205,57
20150608,4401,137
20150608,4403,444
20150609,3301,438
20150609,3101,783
20150609,4401,172
20150609,3205,72
20150609,4403,415
20150609,3201,63
20150609,4201,46
20150609,1101,3273
20150609,5101,435
20150609,1201,69
20150610,4201,49
20150610,1101,3681
20150610,5101,363
20150610,3301,375
20150610,1201,71
20150610,3205,50
20150610,3201,71
